"ID","Player","Username","From","To","Tm","Lg","WS","G","GS","MP","PER","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","Olympics2016","OlympicsFinalist","AllStar","Pos","HighRated"
180,"Will Barton","bartowi01",2019,2019,"DEN","NBA",0,14,3,328,10.4,0.407,0.193,4.7,16.9,10.7,11,0.6,2.2,8.2,21.6,95,113,-0.2,0.2,-0.002,-3.4,-0.3,-3.8,-0.1,0,0,0,NA,0
181,"Jerryd Bayless","bayleje01",2018,2018,"PHI","NBA",0,1,0,2,0,NA,NA,0,0,0,0,0,0,NA,0,NA,115,0,0,0.013,-5.1,0.1,-5,0,0,0,0,NA,0
182,"Kent Bazemore","bazemke01",2017,2017,"ATL","NBA",0,6,0,150,9.4,0.453,0.264,3,14.3,8.6,20.8,1.3,2.7,21.3,21.2,92,108,-0.2,0.2,0.007,-3.6,3.1,-0.5,0.1,0,0,0,"SG",0
183,"Tarik Black","blackta01",2018,2018,"HOU","NBA",0,7,0,19,3.4,0,0,11.5,23.6,17.5,14.6,0,4.6,20,11.8,82,107,0,0,-0.015,-8,3.6,-4.4,0,0,0,0,NA,0
184,"Tony Bradley","bradlto01",2018,2018,"UTA","NBA",0,1,0,2,41.9,0,0,53.2,0,26.9,0,0,0,0,44.1,117,116,0,0,0.223,4.9,-15.4,-10.5,0,0,0,0,NA,0
185,"Aaron Brooks","brookaa01",2017,2018,"TOT","NBA",0,3,0,10,24.8,0.5,0.333,0,11.9,5.9,17.9,0,0,12.7,35.2,106,124,0,0,0.016,3.6,-7.3,-3.7,0,0,0,0,NA,0
186,"Lorenzo Brown","brownlo01",2018,2018,"TOR","NBA",0,4,0,29,7.2,0.5,0.2,4.1,21.6,12.7,9.9,0,2.7,8.4,18.6,91,118,0,0,-0.045,-4.3,-1.6,-5.9,0,0,0,0,NA,0
187,"Trey Burke","burketr01",2017,2017,"WAS","NBA",0,3,0,20,-1.6,0.5,0,0,0,0,30.2,0,0,0,8.6,64,120,0,0,-0.108,-10.3,-9.2,-19.4,-0.1,0,0,0,NA,0
188,"Deonte Burton","burtode02",2019,2019,"OKC","NBA",0,3,0,4,-7.2,0.4,0,26.7,27.5,27.1,0,0,0,0,53.4,57,113,-0.1,0,-0.591,-22,-18.3,-40.3,0,0,0,0,NA,0
189,"Vince Carter","cartevi01",2017,2017,"MEM","NBA",0,6,6,195,8.1,0.476,0.167,2.6,10.6,6.6,7.6,0.6,0,18.2,14.2,106,123,0.1,-0.1,-0.001,0,-1.7,-1.7,0,0,0,0,"PF",0
190,"Gary Clark","clarkga01",2019,2019,"HOU","NBA",0,2,0,4,3,NA,NA,0,27.3,14.1,0,0,0,NA,0,NA,110,0,0,0.048,-8.2,-0.1,-8.3,0,0,0,0,NA,0
191,"Jordan Crawford","crawfjo02",2018,2018,"NOP","NBA",0,2,0,15,34.7,0.615,0,0,26.8,13.9,18.5,3.1,0,18.8,45.6,99,103,0,0,0.071,9.5,-0.9,8.5,0,0,0,0,NA,0
192,"Troy Daniels","danietr01",2017,2017,"MEM","NBA",0,6,0,68,4.7,1,0,1.9,7.6,4.8,4.4,1.6,0,18.2,8.1,92,122,0,0,-0.033,-1.5,-0.9,-2.3,0,0,0,0,NA,0
193,"Deyonta Davis","davisde01",2017,2017,"MEM","NBA",0,3,0,11,27.7,0,0.4,23.5,35.4,29.4,0,0,0,0,26.8,130,118,0,0,0.215,0.2,-11.8,-11.6,0,0,0,0,NA,0
194,"Spencer Dinwiddie","dinwisp01",2019,2019,"BRK","NBA",0,5,0,131,12.4,0.387,0.226,2.9,7.7,5.1,10.3,0.7,0,10.5,23.6,103,121,0,-0.1,-0.001,-0.7,-3.4,-4.1,-0.1,0,0,0,"PG",0
195,"Jared Dudley","dudleja01",2019,2019,"BRK","NBA",0,4,2,82,4.7,0.818,0.364,0,2.7,1.3,17.6,1.7,0.9,23.9,8.3,98,120,0,0,-0.018,-3.5,-1.7,-5.2,-0.1,0,0,0,NA,0
196,"Jacob Evans","evansja02",2019,2019,"GSW","NBA",0,7,0,18,0.4,0.4,0,0,6.2,3.2,7.5,0,0,28.6,16.9,74,120,0,0,-0.133,-7.6,-3.4,-11,0,0,0,0,NA,0
197,"Terrance Ferguson","fergute01",2018,2019,"OKC","NBA",0,8,5,134,3.8,0.731,0,2.4,8.2,5.2,7.5,0.7,0,16.1,9.9,101,116,0,0,0.013,-2.9,0,-2.9,0,0,0,0,"SG",0
198,"Melvin Frazier","frazime01",2019,2019,"ORL","NBA",0,3,0,15,13.5,0,0.4,6.8,23.5,14.5,0,3.3,0,0,17.4,95,107,0,0,0.036,-7.2,-2,-9.2,0,0,0,0,NA,0
199,"Markelle Fultz","fultzma01",2018,2018,"PHI","NBA",0,3,0,23,5.7,0,0.571,0,14.2,7,28.8,4.3,0,10.2,17.8,83,102,0,0,-0.003,-6.2,0.7,-5.5,0,0,0,0,NA,0
200,"Marcus Georges-Hunt","georgma01",2018,2018,"MIN","NBA",0,2,0,3,0,0,0,37.4,0,18.1,0,0,0,0,15.2,66,124,0,0,-0.223,-7.8,-6.1,-13.9,0,0,0,0,NA,0
201,"Spencer Hawes","hawessp01",2017,2017,"MIL","NBA",0,3,0,17,10.2,0.4,0,13.2,15.3,14.1,9.7,0,5.7,16.7,16.8,101,106,0,0,0.074,-3.2,3,-0.2,0,0,0,0,NA,0
202,"Aaron Holiday","holidaa01",2019,2019,"IND","NBA",0,3,0,13,-1.3,0.4,0,0,0,0,0,0,0,16.7,21.2,76,112,0,0,-0.103,-7.6,-3.4,-11,0,0,0,0,NA,0
203,"Richaun Holmes","holmeri01",2018,2018,"PHI","NBA",0,3,0,11,-4.1,0,0,0,9.9,4.9,11.4,0,0,0,3.8,56,112,0,0,-0.02,-7.1,-0.6,-7.7,0,0,0,0,"C",0
204,"Danuel House","houseda01",2019,2019,"HOU","NBA",0,7,0,141,4,0.838,0.216,1.7,15.5,8.8,1,1.1,1.3,9,13.9,84,110,-0.2,0.1,-0.013,-4.5,-1,-5.5,-0.1,0,0,0,NA,0
205,"Josh Huestis","huestjo01",2018,2018,"OKC","NBA",0,4,0,19,8,0,1,0,16.5,8.3,0,2.6,4.8,0,6.6,109,103,0,0,0.098,-5.3,1.8,-3.5,0,0,0,0,NA,0
206,"Aaron Jackson","jacksaa01",2018,2018,"HOU","NBA",0,7,0,17,8.7,0.5,0.5,12.9,13.2,13,17.9,0,0,29.1,18.1,97,114,0,0,0.002,-3.1,-1.1,-4.3,0,0,0,0,NA,0
207,"Brandon Jennings","jennibr01",2017,2018,"TOT","NBA",0,14,0,183,6.5,0.395,0.263,3.1,8.9,6,17.5,0.5,0,17.5,12.2,101,117,0,0.1,0.011,-3.4,-2.1,-5.5,-0.2,0,0,0,NA,0
208,"Dakari Johnson","johnsda04",2018,2018,"OKC","NBA",0,2,0,3,0,NA,NA,0,0,0,0,0,0,NA,0,NA,118,0,0,-0.001,-5.5,0,-5.5,0,0,0,0,NA,0
209,"Joe Johnson","johnsjo02",2017,2018,"TOT","NBA",0,19,2,380,10.6,0.32,0.1,2.5,14.1,8.2,13.8,0.8,0.5,9.3,21.5,97,114,-0.2,0.3,0.006,-2.3,0.1,-2.2,0,0,0,0,NA,0
210,"Wesley Johnson","johnswe01",2017,2017,"LAC","NBA",0,3,0,11,6.7,NA,NA,0,23.8,11.6,0,4.9,0,0,3.9,123,102,0,0,0.124,-4.6,3.6,-1,0,0,0,0,NA,0
211,"Damian Jones","jonesda03",2017,2019,"GSW","NBA",0,12,1,40,8.3,0,0.7,14.5,15.9,15.1,0,2.4,2,23.4,18.6,95,104,0,0.1,0.045,-6.5,-1.7,-8.3,-0.1,0,0,0,NA,0
212,"Tyus Jones","jonesty01",2018,2018,"MIN","NBA",0,4,0,55,6.1,0.286,0,0,17.2,8.9,19.3,0.9,0,12.5,6.6,91,118,0,0,-0.021,-4.4,1.7,-2.7,0,0,0,0,"PG",0
213,"Jon Leuer","leuerjo01",2019,2019,"DET","NBA",0,1,0,5,0.5,0,0.5,0,0,0,0,0,0,0,20.5,77,127,0,0,-0.175,-7.8,-6.4,-14.2,0,0,0,0,NA,0
214,"Shelvin Mack","macksh01",2017,2017,"UTA","NBA",0,9,3,155,9.7,0.306,0.306,2.3,17.1,9.7,18.4,1.3,0,13.9,19.9,98,113,-0.1,0.1,0.014,-3.1,0.8,-2.3,0,0,0,0,NA,0
215,"Jarell Martin","martija01",2017,2019,"TOT","NBA",0,6,0,28,15.8,0.583,0.167,12.9,13.5,13.1,8,2,3.3,0,21,104,112,0,0,0.059,1.3,-2,-0.7,0,0,0,0,NA,0
216,"Rodney McGruder","mcgruro01",2018,2018,"MIA","NBA",0,4,0,16,-2.9,0.5,0,0,26.9,13.2,0,0,0,0,10.8,53,115,0,0,-0.109,-10.5,-4.9,-15.4,-0.1,0,0,0,"SG",0
217,"Jordan Mickey","mickejo01",2017,2017,"BOS","NBA",0,2,0,18,1.8,0,0,0,33.7,16.3,0,0,4.8,16.7,15.1,64,111,-0.1,0,-0.093,-14.7,-2.2,-16.9,-0.1,0,0,0,NA,0
218,"Malcolm Miller","millema01",2019,2019,"TOR","NBA",0,10,0,28,4,0.75,0.5,0,19.7,9.9,5.1,0,3.5,9.3,17.4,83,106,0,0,-0.016,-6.5,-0.1,-6.6,0,0,0,0,NA,0
219,"Monte Morris","morrimo01",2019,2019,"DEN","NBA",0,14,0,224,9.9,0.151,0.151,1.4,7.6,4.5,24.3,1.2,0.3,6.1,19.4,98,116,-0.1,0.1,0.001,-3.8,-2.1,-5.9,-0.2,0,0,0,"PG",0
220,"Shabazz Muhammad","muhamsh01",2018,2018,"MIL","NBA",0,4,0,29,23.3,0.25,0.25,0,15.4,8.2,0,3.6,3.1,8.3,40.6,95,104,0,0,0.025,-3.9,-7.7,-11.5,-0.1,0,0,0,NA,0
221,"Kyle O'Quinn","oquinky01",2019,2019,"IND","NBA",0,1,0,2,-27.5,NA,NA,0,0,0,0,0,0,100,23,0,113,0,0,-0.688,-29.4,2.8,-26.6,0,0,0,0,NA,0
222,"Daniel Ochefu","ochefda01",2017,2017,"WAS","NBA",0,4,0,5,-19.4,0,0,0,23.2,11.6,0,0,0,50,17.2,0,114,-0.1,0,-0.454,-22.6,-3.3,-25.9,0,0,0,0,NA,0
223,"Emeka Okafor","okafoem01",2018,2018,"NOP","NBA",0,1,0,4,-13.8,0,0,0,0,0,0,0,0,0,10.7,0,116,0,0,-0.263,-13.2,-1.1,-14.3,0,0,0,0,NA,0
224,"Chinanu Onuaku","onuakch01",2018,2018,"HOU","NBA",0,1,0,3,38.2,NA,NA,36.5,0,18.5,43,16.7,0,NA,0,233,79,0,0,0.578,12.3,15.2,27.5,0,0,0,0,NA,0
225,"Brandon Paul","paulbr01",2018,2018,"SAS","NBA",0,1,0,3,15.5,NA,NA,0,40.4,18.8,46.2,0,0,NA,0,224,111,0,0,0.168,-5.3,2.1,-3.1,0,0,0,0,NA,0
226,"Cameron Payne","payneca01",2017,2017,"CHI","NBA",0,1,0,4,12.8,0.5,0,0,27.6,14,0,0,0,33.3,33.8,83,114,0,0,-0.132,-8,-8.4,-16.4,0,0,0,0,NA,0
227,"Theo Pinson","pinsoth01",2019,2019,"BRK","NBA",0,3,0,22,16.5,0.875,0,0,15.2,7,20.5,4.2,0,11.1,16.6,113,112,0,0,0.092,2,0.4,2.3,0,0,0,0,NA,0
228,"Quincy Pondexter","pondequ01",2019,2019,"SAS","NBA",0,5,0,12,1.3,0.5,0,0,8.9,4.5,20.3,4.4,0,0,7.7,52,110,0,0,-0.068,-5.7,2.2,-3.5,0,0,0,0,NA,0
229,"Tim Quarterman","quartti01",2017,2017,"POR","NBA",0,2,0,7,14.6,1,0,0,0,0,23.9,0,0,0,11.9,163,124,0,0,0.184,4,-8.3,-4.4,0,0,0,0,NA,0
230,"Terrence Ross","rosste01",2019,2019,"ORL","NBA",0,5,0,146,11.2,0.648,0.315,0.7,13.7,6.7,9,2.1,1.3,14,21.7,96,111,-0.1,0.1,0.016,-0.8,0.7,-0.1,0.1,0,0,0,"SG",0
231,"Kyle Singler","singlky01",2017,2017,"OKC","NBA",0,1,0,10,-6,0,0,0,11.4,5.4,0,0,0,0,4.3,0,121,0,0,-0.103,-12.1,-1.9,-14,0,0,0,0,NA,0
232,"Zhaire Smith","smithzh01",2019,2019,"PHI","NBA",0,2,0,5,10.5,NA,NA,0,0,0,0,9.7,0,NA,0,NA,94,0,0,0.136,-1.6,10.2,8.6,0,0,0,0,NA,0
233,"David Stockton","stockda01",2018,2018,"UTA","NBA",0,2,0,6,-0.7,0.333,0,0,18.1,9,0,0,0,0,22.1,70,112,0,0,-0.136,-10.9,-5.8,-16.7,0,0,0,0,NA,0
234,"Edmond Sumner","sumneed01",2019,2019,"IND","NBA",0,1,0,2,12.5,NA,NA,0,100,54.5,0,0,0,NA,0,NA,87,0,0,0.175,-18.7,-1.8,-20.5,0,0,0,0,NA,0
235,"Caleb Swanigan","swanica01",2018,2018,"POR","NBA",0,1,0,8,2.6,0.5,2,0,30.2,13.8,14.5,0,0,21,25.4,79,119,0,0,-0.162,-8.3,-2.8,-11.1,0,0,0,0,NA,0
236,"Isaiah Taylor","taylois01",2017,2017,"HOU","NBA",0,3,0,10,-1.2,0.5,0,11.1,10.5,10.8,13,0,0,0,8.8,62,115,0,0,-0.09,-6.6,-0.1,-6.7,0,0,0,0,NA,0
237,"Garrett Temple","templga01",2019,2019,"LAC","NBA",0,6,0,63,5.3,0.636,0.909,1.7,11.3,6.2,4.1,2.2,1.3,11.5,11.3,94,121,0,0,-0.037,-3.2,-0.3,-3.5,0,0,0,0,"SG",0
238,"Khyri Thomas","thomakh01",2019,2019,"DET","NBA",0,3,0,15,30.4,0.333,0.083,0,15.5,6.7,0,6.3,0,0,34.8,107,111,0,0,0.094,2.9,-5.8,-2.9,0,0,0,0,NA,0
239,"Sindarius Thornwell","thornsi01",2019,2019,"LAC","NBA",0,4,0,12,9,0.5,0,0,39.5,18.6,0,3.9,0,0,20.5,84,111,0,0,-0.044,-7.8,-5.4,-13.1,0,0,0,0,"SG",0
240,"Ekpe Udoh","udohek01",2018,2019,"UTA","NBA",0,8,0,27,0.9,0,2,3.9,8.1,6,0,0,6.5,21,7.7,47,110,-0.1,0,-0.072,-9.6,3.1,-6.5,0,0,0,0,NA,0
241,"Denzel Valentine","valende01",2017,2017,"CHI","NBA",0,4,0,22,6.2,0.667,0,0,40.1,20.4,13.6,0,4.7,25,16.4,75,108,-0.1,0,-0.053,-8.9,2.4,-6.5,0,0,0,0,NA,0
242,"Jarred Vanderbilt","vandeja01",2019,2019,"DEN","NBA",0,3,0,5,11.3,NA,NA,0,21.4,10.5,0,0,15.7,NA,0,NA,103,0,0,0.086,-9.2,9.1,-0.1,0,0,0,0,NA,0
243,"Rashad Vaughn","vaughra01",2017,2017,"MIL","NBA",0,3,0,10,18.8,0.5,0,0,0,0,0,0,0,0,19.1,134,113,0,0,0.174,3.4,-4.3,-0.9,0,0,0,0,NA,0
244,"Noah Vonleh","vonleno01",2017,2017,"POR","NBA",0,4,2,100,7.9,0,0.278,8.9,22.9,15.4,12.1,0.5,2.6,22.9,10.9,94,117,-0.1,0,-0.013,-4.4,3.4,-1,0,0,0,0,"PF",0
245,"Lonnie Walker","walkelo01",2019,2019,"SAS","NBA",0,6,0,21,8.7,0.125,0,0,10.2,5.1,21.1,0,0,0,17.6,95,119,0,0,-0.034,-3.8,-3.3,-7.1,0,0,0,0,NA,0
246,"Tyrone Wallace","wallaty01",2019,2019,"LAC","NBA",0,2,0,11,4.3,0,0.75,0,10.8,5.1,36.9,0,0,15.8,23.6,88,127,0,0,-0.141,-7.4,-5.2,-12.6,0,0,0,0,"PG",0
247,"Brad Wanamaker","wanambr01",2019,2019,"BOS","NBA",0,4,0,17,17.7,0.143,0.571,0,5.7,3,31.1,2.8,0,18.6,27.7,103,104,0,0,0.097,-1.6,-1.2,-2.8,0,0,0,0,NA,0
248,"D.J. Wilson","wilsodj01",2019,2019,"MIL","NBA",0,8,0,43,6.6,0.313,0.125,2.4,20.2,11.7,14.7,0,2.1,29.3,23.8,84,105,-0.1,0.1,-0.036,-6.6,0.7,-5.9,0,0,0,0,NA,0
249,"Kyle Wiltjer","wiltjky01",2017,2017,"HOU","NBA",0,1,0,5,26.1,1,0,0,0,0,0,0,0,0,8.8,300,119,0,0,0.247,11.6,-4.4,7.2,0,0,0,0,NA,0
250,"Brandan Wright","wrighbr03",2017,2017,"MEM","NBA",0,2,0,12,11.4,0,0,10.8,10.8,10.8,0,0,15.3,16.7,25.1,75,114,0,0,-0.151,-11.1,1.2,-9.9,0,0,0,0,NA,0
251,"James Young","youngja01",2017,2017,"BOS","NBA",0,10,0,39,9.1,0.933,0,2.9,18.6,10.5,11.5,0,0,6.3,18.6,103,118,0,0,0.014,-1.4,-3.6,-5,0,0,0,0,NA,0
252,"Joe Young","youngjo01",2018,2018,"IND","NBA",0,1,0,3,-5.8,NA,NA,0,0,0,0,0,0,NA,0,NA,113,0,0,0.024,-5.8,3.3,-2.5,0,0,0,0,NA,0
253,"Bam Adebayo","adebaba01",2018,2018,"MIA","NBA",-0.1,5,0,77,6.1,0.067,0.933,12.1,15.4,13.7,0,0,2.2,8.6,13,91,117,-0.1,0,-0.036,-6.5,-4,-10.5,-0.2,0,1,0,"C",1
254,"Michael Beasley","beaslmi01",2017,2017,"MIL","NBA",-0.1,4,0,48,3.3,0.25,0.2,4.7,18.9,11.3,3.6,1.1,2,8.4,23.6,76,105,-0.2,0.1,-0.083,-9.1,-0.5,-9.5,-0.1,0,0,0,NA,0
255,"Bruce Brown","brownbr01",2019,2019,"DET","NBA",-0.1,4,2,57,4.6,0.357,0.143,1.6,14.3,7.1,5.1,1.7,1.6,11.8,12.4,85,120,-0.1,0,-0.063,-5.8,-0.3,-6,-0.1,0,0,0,"SG",0
256,"Wilson Chandler","chandwi01",2019,2019,"LAC","NBA",-0.1,4,0,52,2.6,0.625,0.25,0,13.7,6.4,5.2,1.8,0,14.5,16.4,80,122,-0.1,0,-0.116,-5.1,-2.2,-7.4,-0.1,0,0,0,NA,0
257,"DeMarcus Cousins","couside01",2019,2019,"GSW","NBA",-0.1,8,5,133,11,0.226,0.472,8,25.2,16.9,20.7,1.8,4.4,22.9,27.1,90,107,-0.2,0.2,-0.023,-5.3,3,-2.2,0,1,0,0,"C",1
258,"Allen Crabbe","crabbal01",2017,2017,"POR","NBA",-0.1,4,0,92,3.7,0.542,0.125,0,14.9,6.9,3.4,0.5,0,3.8,11.9,90,121,-0.1,0,-0.043,-4.2,-0.6,-4.8,-0.1,0,0,0,NA,0
259,"Andre Drummond","drumman01",2019,2019,"DET","NBA",-0.1,4,4,127,15.6,0.019,0.389,13.9,29.3,20.6,12,2.2,3.6,14.8,24.5,92,114,-0.2,0.1,-0.042,-3.9,1.9,-2,0,0,1,0,"C",1
260,"Langston Galloway","gallola01",2019,2019,"DET","NBA",-0.1,4,0,110,6.7,0.735,0,1.6,13.8,6.9,5.3,0.9,3.3,5.6,13.7,92,121,-0.1,0,-0.048,-3,-0.5,-3.5,0,0,0,0,"SG",0
261,"Treveon Graham","grahatr01",2019,2019,"BRK","NBA",-0.1,5,0,79,0.6,0.7,0.6,3.6,11.3,7.2,4.9,1.2,0.9,19.2,8,68,119,-0.1,0,-0.083,-5.6,0.9,-4.7,-0.1,0,0,0,NA,0
262,"Jonathan Isaac","isaacjo01",2019,2019,"ORL","NBA",-0.1,5,5,137,6.2,0.5,0.2,7.4,18,12.3,2.5,0.7,3.4,10.3,15.7,82,111,-0.2,0.1,-0.043,-5.8,1.3,-4.5,-0.1,0,0,0,"PF",0
263,"DeAndre Liggins","liggide01",2018,2018,"NOP","NBA",-0.1,3,0,14,-7.7,0,2,0,7.2,3.7,0,0,0,51.5,11.8,26,115,-0.1,0,-0.237,-13.3,-0.3,-13.6,0,0,0,0,NA,0
264,"Jeremy Lin","linje01",2019,2019,"TOR","NBA",-0.1,8,0,27,1,0.222,0.444,0,12.3,6.1,21,1.9,0,31.7,26.4,70,106,-0.1,0,-0.169,-11.4,-0.4,-11.8,-0.1,0,0,0,"PG",0
265,"Wesley Matthews","matthwe02",2019,2019,"IND","NBA",-0.1,4,4,119,3.6,0.7,0.1,0,10.1,4.6,10.8,1.3,0.8,20.3,15.2,77,107,-0.3,0.2,-0.04,-5.7,1.3,-4.4,-0.1,0,0,0,"SF-SG",0
266,"Jodie Meeks","meeksjo01",2019,2019,"TOR","NBA",-0.1,14,0,66,3.1,0.448,0.103,0,15.1,7.5,2.4,3,1.5,9,22.8,68,102,-0.3,0.1,-0.1,-9,-0.1,-9.2,-0.1,0,0,0,NA,0
267,"Wayne Selden","seldewa01",2017,2017,"MEM","NBA",-0.1,6,2,106,5.6,0.423,0.154,3.7,7.3,5.5,10.6,0.5,0.9,6.7,14.1,95,124,-0.1,0,-0.048,-2.3,-2.1,-4.4,-0.1,0,0,0,"SG",0
268,"Landry Shamet","shamela01",2019,2019,"LAC","NBA",-0.1,6,6,174,6.4,0.816,0.263,0.6,7.5,3.8,7.6,1.6,0,14.2,11.7,103,124,0,-0.1,-0.026,-0.7,-1.5,-2.2,0,0,0,0,"SG",0
269,"Anfernee Simons","simonan01",2019,2019,"POR","NBA",-0.1,5,0,12,-9.1,0.286,0.714,0,0,0,0,4.2,0,0,33.3,53,112,-0.1,0,-0.362,-14.6,-5.5,-20.1,-0.1,0,0,0,NA,0
270,"Hassan Whiteside","whiteha01",2018,2018,"MIA","NBA",-0.1,5,5,77,6.9,0,0.65,13.4,28,20.6,2,0,6.7,31.8,21.1,81,110,-0.2,0.1,-0.082,-9.7,0.1,-9.6,-0.1,0,0,0,"C",0
271,"Michael Carter-Williams","cartemi01",2017,2019,"TOT","NBA",-0.2,10,0,145,7.1,0.196,0.261,2.2,16.9,9.1,21.7,1.8,0.7,21.4,20.1,86,112,-0.3,0.1,-0.053,-5.6,0.9,-4.7,-0.1,0,0,0,NA,0
272,"Wayne Ellington","ellinwa01",2018,2019,"TOT","NBA",-0.2,9,4,232,6.7,0.743,0.071,1.6,9.3,5.1,5.1,1,0.7,6.5,14.1,96,121,-0.1,-0.1,-0.034,-1.9,-2.1,-4,-0.1,0,0,0,NA,0
273,"Tim Hardaway","hardati02",2017,2017,"ATL","NBA",-0.2,6,6,200,3.8,0.512,0.232,1.7,7.3,4.5,5.4,0.7,0,10,21.3,86,113,-0.4,0.2,-0.052,-5.5,-0.6,-6,-0.2,0,0,0,"SG",0
274,"Joe Harris","harrijo01",2019,2019,"BRK","NBA",-0.2,5,5,149,5.1,0.488,0.186,3.8,11.2,7.2,2.9,0.9,0,16.2,15.1,89,120,-0.2,0,-0.059,-4.1,-1.5,-5.6,-0.1,0,1,0,"SG",1
275,"Troy Williams","willitr02",2017,2017,"HOU","NBA",-0.2,5,0,19,-14.2,0.556,0.222,11.7,27.7,19.9,6.8,0,0,16.8,27.5,28,110,-0.2,0,-0.514,-18.8,-3.5,-22.3,-0.1,0,0,0,NA,0
276,"D'Angelo Russell","russeda01",2019,2019,"BRK","NBA",-0.3,5,5,148,11.6,0.359,0.126,1.3,12.1,6.3,22.1,2.2,0.5,11.4,33.6,89,117,-0.3,0,-0.098,-3.1,-2,-5.1,-0.1,0,0,1,"PG",1
277,"Ish Smith","smithis01",2019,2019,"DET","NBA",-0.3,4,0,81,3.7,0.184,0.105,1.1,14.4,6.8,26.3,1.8,1.1,9.1,22.6,72,120,-0.3,0,-0.196,-7.4,-1.5,-8.9,-0.1,0,0,0,NA,0
278,"Jerian Grant","grantje02",2017,2019,"TOT","NBA",-0.4,8,2,66,-2.6,0.485,0.121,0,13.8,6.7,20.4,1.6,0,18.7,29.1,62,114,-0.4,0,-0.282,-10.4,-2.1,-12.5,-0.2,0,0,0,"PG",0
279,"Jordan Clarkson","clarkjo01",2018,2018,"CLE","NBA",-0.7,19,0,286,3.2,0.374,0.049,3.7,9.8,6.7,7.2,1.5,1,9.4,22.4,77,113,-0.9,0.2,-0.116,-6.9,-2.3,-9.2,-0.5,0,0,0,"SG",0
