Player,Team,Olympics Finalist,MainData?
Bam Adebayo, Miami Heat,1,adebaba01
LaMarcus Aldridge, San Antonio Spurs,1,aldrila01
Harrison Barnes, Sacramento Kings,1,barneha02
Bradley Beal, Washington Wizards,1,bealbr01
Devin Booker, Phoenix Suns,1,bookede01
Malcolm Brogdon, Indiana Pacers,1,brogdma01
Jaylen Brown, Boston Celtics,1,brownja02
Jimmy Butler, Miami Heat,1,butleji01
Mike Conley, Utah Jazz,1,conlemi01
Stephen Curry, Golden State Warriors,1,curryst01
Anthony Davis, Los Angeles Lakers,1,davisan02
DeMar DeRozan, San Antonio Spurs,1,derozde01
Andre Drummond, Cleveland Cavaliers,1,drumman01
Kevin Durant, Brooklyn Nets,1,duranke01
Paul George, LA Clippers,1,georgpa01
Draymond Green, Golden State Warriors,1,greendr01
James Harden, Houston Rockets,1,hardeja01
Montrezl Harrell, LA Clippers,1,harremo01
Joe Harris, Brooklyn Nets,1,harrijo01
Tobias Harris, Philadelphia 76ers,1,harrito02
Gordon Hayward, Boston Celtics,1,haywago01
Dwight Howard, Los Angeles Lakers,1,howardw01
Brandon Ingram, New Orleans Pelicans,1,ingrabr01
Kyrie Irving, Brooklyn Nets,1,irvinky01
LeBron James, Los Angeles Lakers,1,jamesle01
Kyle Kuzma, Los Angeles Lakers,1,kuzmaky01
Kawhi Leonard, LA Clippers,1,leonaka01
Damian Lillard, Portland Trail Blazers,1,lillada01
Brook Lopez, Milwaukee Bucks,1,lopezbr01
Kevin Love, Cleveland Cavaliers,1,loveke01
Kyle Lowry, Toronto Raptors,1,lowryky01
JaVale McGee, Los Angeles Lakers,1,mcgeeja01
Khris Middleton, Milwaukee Bucks,1,middlkh01
Donovan Mitchell, Utah Jazz,1,mitchdo01
Victor Oladipo, Indiana Pacers,1,oladivi01
Chris Paul, Oklahoma City Thunder,1,paulch01
Mason Plumlee, Denver Nuggets,1,plumlma01
Marcus Smart, Boston Celtics,1,smartma01
Jayson Tatum, Boston Celtics,1,tatumja01
Klay Thompson, Golden State Warriors,1,thompkl01
Myles Turner, Indiana Pacers,1,turnemy01
Kemba Walker, Boston Celtics,1,walkeke02
Russell Westbrook, Houston Rockets,1,westbru01
Derrick White, San Antonio Spurs,1,whitede01