ID,Player,Username,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
442,Wayne Selden,seldewa01,SG,24,CHI,43,984,8.1,0.489,0.345,0.196,2.3,12.8,7.5,10.8,1.1,0.6,13.8,18,-0.8,0.4,-0.4,-0.019,-3.7,-1.4,-5.1,-0.8
443,Collin Sexton,sextoco01,PG,20,CLE,82,2605,12,0.52,0.245,0.211,2.3,8,5,15.3,0.8,0.2,12.3,25.2,-0.1,-0.5,-0.6,-0.011,-1.5,-3.7,-5.2,-2.1
444,Landry Shamet,shamela01,SG,21,TOT,79,1802,11,0.604,0.711,0.167,1.3,6.4,3.9,9,1,0.4,7,15,2.7,0.9,3.6,0.095,1.4,-2.4,-1,0.5
444,Landry Shamet,shamela01,SG,21,PHI,54,1108,10.7,0.606,0.706,0.156,1.4,5.9,3.7,7.4,1,0.6,6.6,15,1.6,0.6,2.2,0.096,1,-2.5,-1.5,0.1
444,Landry Shamet,shamela01,SG,21,LAC,25,694,11.3,0.601,0.719,0.186,1.1,7.3,4.3,11.5,0.9,0.2,7.7,15,1.1,0.3,1.4,0.094,2.1,-2.3,-0.2,0.3
445,Iman Shumpert,shumpim01,SG,28,TOT,62,1481,9.1,0.499,0.612,0.101,1.9,11.4,6.5,9.9,1.9,1.4,9.7,14.5,0.1,1.2,1.4,0.045,-1.5,0.1,-1.4,0.2
445,Iman Shumpert,shumpim01,SG,28,SAC,42,1099,10.1,0.511,0.58,0.118,1.7,10.6,6,10.7,2,1.6,9.4,15.2,0.3,0.9,1.2,0.054,-0.8,0.3,-0.5,0.4
445,Iman Shumpert,shumpim01,SG,28,HOU,20,382,6.3,0.456,0.724,0.041,2.3,13.6,7.8,7.6,1.5,0.9,10.7,12.7,-0.2,0.3,0.2,0.019,-3.4,-0.5,-3.8,-0.2
446,Pascal Siakam,siakapa01,PF,24,TOR,80,2548,18.7,0.628,0.226,0.32,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,5.7,3.6,9.3,0.175,2,1.4,3.4,3.5
447,Jordan Sibert,siberjo01,SG,26,ATL,1,4,29.7,1.5,1,0,0,0,0,0,0,0,0,10.2,0,0,0,0.183,13,-6.7,6.3,0
448,Ben Simmons,simmobe01,PG,22,PHI,79,2700,20,0.582,0.006,0.446,6.9,20,13.7,34.2,2,1.8,19.3,22.1,4.6,3.6,8.2,0.146,1.4,2.6,4.1,4.1
449,Jonathon Simmons,simmojo02,SG-SF,29,TOT,56,1064,8.5,0.466,0.297,0.277,2.7,10,6.3,16.7,1.3,1.2,14.8,18.7,-0.8,1.1,0.3,0.013,-4.1,-0.6,-4.8,-0.7
449,Jonathon Simmons,simmojo02,SG,29,ORL,41,845,7.4,0.445,0.29,0.252,2.9,9.9,6.3,15.7,1,1.4,15,19.3,-1,0.8,-0.2,-0.01,-4.9,-0.6,-5.4,-0.7
449,Jonathon Simmons,simmojo02,SF,29,PHI,15,219,12.9,0.553,0.328,0.391,2,10.3,6.3,20.7,2.4,0.4,13.8,16.7,0.2,0.2,0.5,0.101,-1.1,-1,-2.1,0
450,Kobi Simmons,simmoko01,PG,21,CLE,1,2,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.033,-6.3,-0.9,-7.3,0
451,Anfernee Simons,simonan01,SG,19,POR,20,141,11.1,0.535,0.46,0.254,2.3,7.4,4.9,13.7,0.3,0,13.6,24.3,0,0,0.1,0.02,-1.6,-4.7,-6.3,-0.2
452,Marcus Smart,smartma01,SG,24,BOS,80,2200,13.1,0.568,0.61,0.228,2.8,8.6,5.7,19.1,3.1,1.1,16.5,14.6,2.2,3.1,5.3,0.116,0.6,1.3,1.8,2.1
453,Dennis Smith,smithde03,PG,21,TOT,53,1508,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0,0.001,-1.7,-0.9,-2.5,-0.2
453,Dennis Smith,smithde03,PG,21,DAL,32,908,11.5,0.527,0.35,0.23,2.1,9.3,5.7,24.1,2.1,1,20.3,23.3,-0.7,0.9,0.2,0.01,-2.2,-0.3,-2.4,-0.1
453,Dennis Smith,smithde03,PG,21,NYK,21,600,13.5,0.473,0.283,0.253,2.4,7.9,5.1,32.2,2.2,1.3,14.2,27,-0.5,0.3,-0.2,-0.014,-0.9,-1.8,-2.7,-0.1
454,Ish Smith,smithis01,PG,30,DET,56,1251,11.8,0.485,0.276,0.127,1.9,11.1,6.3,25.4,1.1,0.7,10.6,19.9,0.5,1.1,1.7,0.064,-1.7,-1.1,-2.8,-0.2
455,J.R. Smith,smithjr01,SG,33,CLE,11,222,7.8,0.444,0.494,0.127,0,9.4,4.5,13.8,2.5,1.2,11.7,18.6,-0.3,0.1,-0.2,-0.038,-3.5,-1.7,-5.2,-0.2
456,Jason Smith,smithja02,PF-C,32,TOT,20,190,9.8,0.492,0.441,0.271,9,20.2,14.6,9.7,0.7,3.1,16.4,17.5,0,0.2,0.2,0.038,-3.7,-0.6,-4.3,-0.1
456,Jason Smith,smithja02,C,32,WAS,12,130,11.7,0.52,0.27,0.324,9,22.1,15.4,12.3,0.4,3.2,14.2,16.1,0.1,0.1,0.2,0.07,-2.9,-0.3,-3.2,0
456,Jason Smith,smithja02,PF,32,MIL,6,40,6.3,0.468,0.692,0.154,8.1,19.2,14,3.1,2.3,4.2,26.5,19.8,-0.1,0.1,0,-0.02,-6.9,1.2,-5.7,0
456,Jason Smith,smithja02,C,32,NOP,2,20,4.6,0.405,0.778,0.222,10.5,10.2,10.4,6.2,0,0,9.2,22.3,0,0,0,-0.049,-2.6,-5.8,-8.4,0
457,Zhaire Smith,smithzh01,SG,19,PHI,6,111,9.5,0.533,0.471,0.235,2.9,9.3,6.2,12.3,0.9,1.4,13.8,16.4,0,0.1,0.1,0.048,-2.3,-1.7,-4,-0.1
458,Tony Snell,snellto01,SF,27,MIL,74,1304,10.7,0.585,0.565,0.116,2.4,9.4,6.1,6.7,0.9,1.2,5.7,12.9,1.6,1.6,3.2,0.117,-0.7,-0.4,-1,0.3
459,Ray Spalding,spaldra01,PF,21,TOT,14,148,14.6,0.516,0.064,0.255,11.1,25.1,18,5.1,2.9,4.5,14.7,17.8,0,0.2,0.2,0.051,-4.7,1.4,-3.4,-0.1
459,Ray Spalding,spaldra01,PF,21,DAL,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,0,-6.6,0.5,-6.1,0
459,Ray Spalding,spaldra01,PF,21,PHO,13,147,14.7,0.516,0.064,0.255,11.1,25.3,18.1,5.2,2.9,4.5,14.7,17.9,0,0.2,0.2,0.051,-4.7,1.4,-3.4,-0.1
460,Omari Spellman,spellom01,PF,21,ATL,46,805,12.4,0.516,0.525,0.184,9.2,16.3,12.7,8,1.5,2.7,10.5,14.9,0.6,0.5,1.2,0.07,-1,0,-1,0.2
461,Nik Stauskas,stausni01,SG,25,TOT,68,1015,10.9,0.545,0.556,0.189,1.9,11.7,6.8,11.1,1,0.6,12.2,17.6,0.6,0.5,1.1,0.052,-0.9,-2.2,-3.2,-0.3
461,Nik Stauskas,stausni01,SG,25,POR,44,673,10.8,0.545,0.546,0.157,1.6,10.8,6.3,12.6,1,0.5,14,17.9,0.3,0.4,0.8,0.055,-0.9,-1.9,-2.8,-0.1
461,Nik Stauskas,stausni01,SG,25,CLE,24,342,11.3,0.544,0.578,0.257,2.5,13.2,7.6,8,1,0.8,8.3,16.9,0.3,0,0.3,0.046,-1,-3,-4,-0.2
462,D.J. Stephens,stephdj01,SG,28,MEM,1,7,5.5,0.5,0,0,0,0,0,0,7.1,0,33.3,19.1,0,0,0,-0.119,-9.9,2.3,-7.6,0
463,Lance Stephenson,stephla01,SG,28,LAL,68,1123,11.8,0.529,0.456,0.169,3,16.5,9.9,17.3,1.7,0.5,15.6,20.3,-0.1,1.2,1.1,0.049,-1.7,-0.4,-2.1,0
464,Edmond Sumner,sumneed01,PG,23,IND,23,210,7.6,0.443,0.422,0.375,4.9,7.8,6.3,6.3,2.8,2.1,11.8,17.6,-0.2,0.3,0.1,0.02,-4.1,0.5,-3.6,-0.1
465,Caleb Swanigan,swanica01,PF,21,TOT,21,178,4.7,0.377,0.132,0.17,10.2,27.6,19.1,8,1.6,0.5,24,17.7,-0.5,0.2,-0.2,-0.06,-7.8,0,-7.8,-0.3
465,Caleb Swanigan,swanica01,PF,21,POR,18,145,3.1,0.372,0.114,0.159,9.8,28,19.1,6.2,1.3,0,25.4,18.4,-0.4,0.2,-0.3,-0.086,-8.8,-0.7,-9.5,-0.3
465,Caleb Swanigan,swanica01,PF,21,SAC,3,33,11.7,0.405,0.222,0.222,12.2,25.6,18.7,15.6,2.8,2.6,16.8,14.9,0,0.1,0,0.053,-3.4,3.1,-0.2,0
466,Jayson Tatum,tatumja01,SF,20,BOS,79,2455,15.1,0.547,0.3,0.22,3,17.7,10.4,10,1.6,2.1,9.7,22.1,1.6,3.4,5,0.097,-1.4,0.6,-0.8,0.8
467,Jeff Teague,teaguje01,PG,30,MIN,42,1264,15.4,0.528,0.252,0.368,1.3,7.7,4.5,37.6,1.6,1.2,16.7,19.3,1.7,0.5,2.2,0.085,0,-2.4,-2.4,-0.1
468,Garrett Temple,templga01,SG,32,TOT,75,2040,8.5,0.543,0.535,0.217,1.5,10.2,5.8,7.4,1.8,1.4,11.5,13.2,0.3,2,2.2,0.052,-1.7,0.6,-1.2,0.4
468,Garrett Temple,templga01,SG,32,MEM,49,1530,8.6,0.551,0.543,0.196,1.3,10,5.6,6.7,1.6,1.5,11.4,13.9,0.1,1.5,1.6,0.05,-1.9,0.5,-1.4,0.2
468,Garrett Temple,templga01,SG,32,LAC,26,510,8,0.514,0.509,0.292,2.1,10.9,6.7,9.4,2.4,0.8,11.8,11.2,0.2,0.5,0.6,0.061,-1.3,0.8,-0.4,0.2
469,Miloš Teodosić,teodomi01,PG,31,LAC,15,150,6.5,0.557,0.675,0.175,2.2,8.9,5.7,28.8,0.9,0.5,32.8,18,-0.1,0.1,-0.1,-0.019,-2.9,-3.2,-6.1,-0.2
470,Jared Terrell,terreja01,SG,23,MIN,14,111,0.7,0.372,0.436,0.154,1,4.9,2.9,14.4,1.3,1.5,19.4,19.6,-0.4,0,-0.3,-0.14,-7.5,-2.9,-10.4,-0.2
471,Emanuel Terry,terryem01,PF,22,TOT,3,23,19.7,0.571,0,0.571,14.1,19.6,16.8,12.2,6.2,0,18.6,20.1,0,0,0.1,0.117,-0.7,2.3,1.6,0
471,Emanuel Terry,terryem01,PF,22,PHO,2,20,19.9,0.654,0,0.333,10.9,22.5,16.6,8,7.2,0,22.5,19.1,0,0,0.1,0.127,-1.3,2.9,1.6,0
471,Emanuel Terry,terryem01,PF,22,MIA,1,3,18.4,0.266,0,2,35.4,0,17.7,40.5,0,0,0,26.8,0,0,0,0.045,2.8,-1.3,1.5,0
472,Daniel Theis,theisda01,C,26,BOS,66,908,17,0.624,0.252,0.286,10.2,16.2,13.2,10.5,1.1,4.1,9.9,15.8,2.3,1.3,3.5,0.188,0.8,1.5,2.3,1
473,Isaiah Thomas,thomais02,SG,29,DEN,12,181,7,0.437,0.434,0.273,3,4.8,3.9,18.6,1.4,0.5,14,30.4,-0.4,0.1,-0.3,-0.077,-4.5,-4.2,-8.7,-0.3
474,Khyri Thomas,thomakh01,SG,22,DET,26,195,6.2,0.413,0.507,0.159,2.2,9.3,5.6,6,1.8,2.2,5.1,17.2,-0.2,0.2,0,0.005,-4.7,-0.5,-5.2,-0.2
475,Lance Thomas,thomala01,PF,30,NYK,46,783,6.4,0.482,0.401,0.183,2.7,13.1,7.8,5,1,0.8,10.1,12.9,-0.3,0.3,0.1,0.004,-4.1,-1.2,-5.3,-0.7
476,Klay Thompson,thompkl01,SG,28,GSW,78,2652,16.6,0.571,0.427,0.113,1.6,10.1,6,10.5,1.5,1.5,7.2,25.6,2.9,2.3,5.3,0.095,1.2,-2,-0.8,0.8
477,Tristan Thompson,thomptr01,C,27,CLE,43,1198,18.4,0.551,0,0.279,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,2.1,0.5,2.6,0.105,0.2,0.1,0.3,0.7
478,Sindarius Thornwell,thornsi01,SG,24,LAC,64,313,5.2,0.485,0.306,0.694,1.7,12.8,7.5,7.2,2.1,1.8,23.8,11.3,-0.3,0.3,0,0.004,-5.1,1.1,-4,-0.2
479,Anthony Tolliver,tollian01,PF,33,MIN,65,1079,8.6,0.571,0.83,0.232,1.5,16.2,8.8,5.5,0.8,1.7,11.2,12.5,0.6,0.5,1.2,0.052,-1.2,-1,-2.2,-0.1
480,Karl-Anthony Towns,townska01,C,23,MIN,77,2545,26.3,0.622,0.27,0.342,10.9,29.3,20,17.2,1.3,4.2,13.7,28.9,7.2,3.2,10.4,0.197,4.8,2,6.8,5.7
481,Gary Trent,trentga02,SG,20,POR,15,111,3.6,0.377,0.42,0.14,1,9.4,5.3,6.2,0.4,1.4,7,21.7,-0.3,0.1,-0.2,-0.092,-6.7,-3.6,-10.3,-0.2
482,Allonzo Trier,trieral01,SG,23,NYK,64,1459,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-2.2,-2,-4.2,-0.8
483,P.J. Tucker,tuckepj01,PF,33,HOU,82,2802,9.2,0.547,0.74,0.113,4.7,14.4,9.5,4.6,2.3,1.2,10.3,9.5,2,3,5,0.086,-0.5,1.8,1.3,2.3
484,Evan Turner,turneev01,PG,30,POR,73,1605,11.6,0.504,0.117,0.239,2.5,18.9,10.9,23.6,1,0.9,18.9,15.9,0.5,1.5,2,0.06,-2.5,0.7,-1.8,0.1
485,Myles Turner,turnemy01,C,22,IND,74,2119,18,0.567,0.251,0.258,5.4,22,13.9,8,1.4,8.4,10.3,20,1.9,4.4,6.3,0.144,-1.4,4.7,3.3,2.8
486,Ekpe Udoh,udohek01,C,31,UTA,51,320,20.9,0.698,0,0.417,9.3,20.9,15.2,12.8,1.5,7.7,13.2,13.1,0.9,0.7,1.6,0.238,-0.1,5.7,5.6,0.6
487,Tyler Ulis,ulisty01,PG,23,CHI,1,1,0,,,,0,0,0,0,0,0,,0,0,0,0,-0.015,-6.7,-0.4,-7.1,0
488,Jonas Valančiūnas,valanjo01,C,26,TOT,49,1091,24.4,0.616,0.089,0.344,10.7,31.4,21.1,12,0.8,4.4,12.7,28.5,2.2,1.9,4.2,0.183,0.1,1.2,1.2,0.9
488,Jonas Valančiūnas,valanjo01,C,26,TOR,30,564,24.4,0.639,0.116,0.363,10.6,30.2,20.6,8.5,1.1,3.4,11.5,25.9,1.6,1.1,2.6,0.224,0.5,0.5,0.9,0.4
488,Jonas Valančiūnas,valanjo01,C,26,MEM,19,527,24.4,0.594,0.065,0.326,10.9,32.7,21.6,15.7,0.6,5.4,13.8,31.4,0.7,0.9,1.5,0.14,-0.4,2,1.6,0.5
489,Jarred Vanderbilt,vandeja01,PF,19,DEN,17,69,12.4,0.513,0.053,0.526,10.9,25.2,18,5.9,4.3,1.3,25.5,19.4,-0.1,0.1,0.1,0.037,-6.1,2.1,-4,0
490,Fred VanVleet,vanvlfr01,PG,24,TOR,64,1760,13.7,0.539,0.493,0.192,1.3,8.7,5.1,23.9,1.6,0.9,11.2,17.9,2.4,1.9,4.3,0.117,0.7,-0.7,0,0.9
491,Noah Vonleh,vonleno01,PF,23,NYK,68,1722,13.9,0.561,0.311,0.355,6.7,25.8,16,11.1,1.3,2.5,14.7,14.8,1.5,1.7,3.2,0.09,-1.6,1.6,0,0.9
492,Nikola Vučević,vucevni01,C,28,ORL,80,2510,25.5,0.573,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3,9.9,28,5.4,4.7,10.1,0.193,3,3.4,6.4,5.3
493,Dwyane Wade,wadedw01,SG,37,MIA,72,1885,15.8,0.51,0.272,0.243,3.9,12.2,8,26.5,1.5,1.8,13.5,27.9,0.1,2.3,2.4,0.061,-0.4,0,-0.5,0.7
494,Moritz Wagner,wagnemo01,C,21,LAL,43,446,10.1,0.533,0.45,0.31,4,15.4,9.8,7.4,1.1,2.4,16.7,21.7,-0.3,0.5,0.2,0.02,-4,-1.1,-5.1,-0.3
495,Dion Waiters,waitedi01,SG,27,MIA,44,1138,11.4,0.53,0.605,0.092,0.7,10.2,5.4,16.4,1.2,0.7,11.4,21.1,0.1,1.1,1.2,0.052,-0.3,-1.6,-1.9,0
496,Kemba Walker,walkeke02,PG,28,CHO,82,2863,21.7,0.558,0.434,0.267,1.9,11.9,6.8,29.4,1.7,1,10.1,31.5,5.5,1.9,7.4,0.123,5.1,-1.7,3.3,3.9
497,Lonnie Walker,walkelo01,SG,20,SAS,17,118,10.8,0.446,0.283,0.217,0,15.6,7.9,10.3,2.9,2.2,7.4,20.3,-0.1,0.2,0,0.019,-4.7,0.3,-4.4,-0.1
498,John Wall,walljo01,PG,28,WAS,32,1104,18,0.527,0.306,0.317,1.5,10.1,5.7,39.2,2.1,2.2,16.1,28.8,0.5,0.7,1.2,0.051,1.1,-1.2,-0.2,0.5
499,Tyrone Wallace,wallaty01,PG,24,LAC,62,628,7,0.45,0.088,0.263,3.5,13.2,8.5,9.5,1.6,0.9,12.9,18.7,-0.8,0.5,-0.3,-0.023,-5.5,-0.9,-6.3,-0.7
500,Taurean Waller-Prince,princta02,SF,24,ATL,55,1552,11.9,0.575,0.53,0.195,1.5,12.3,6.7,11.1,1.6,1.1,13.4,19.5,0.8,0.7,1.5,0.047,-0.4,-1.5,-1.9,0
501,Brad Wanamaker,wanambr01,PG,29,BOS,36,343,14.3,0.597,0.371,0.267,0.9,11.8,6.4,22.5,1.7,0.5,13.9,17.1,0.6,0.4,1,0.134,-0.8,-1.4,-2.2,0
502,T.J. Warren,warretj01,SF,25,PHO,43,1360,16.3,0.58,0.295,0.203,2.5,11.8,7.1,7.7,1.8,1.8,7.2,22.7,1.6,0.5,2.1,0.074,0.1,-1.8,-1.7,0.1
503,Julian Washburn,washbju01,SF,27,MEM,18,254,6.5,0.402,0.5,0.083,3.5,14.8,9.1,7.7,2.5,0.7,12.3,10,-0.2,0.3,0.1,0.023,-4.8,1.4,-3.4,-0.1
504,Yuta Watanabe,watanyu01,SF,24,MEM,15,174,3.3,0.352,0.314,0.196,2.5,17.7,10,6.6,1.1,0.5,9.8,15.8,-0.4,0.2,-0.2,-0.065,-8.2,-1.2,-9.3,-0.3
505,Thomas Welsh,welshth01,C,22,DEN,11,36,16.1,0.648,0.538,0.154,0,12.1,6,20.5,0,0,6.7,17.7,0.1,0,0.1,0.162,1.7,-4.3,-2.6,0
506,Russell Westbrook,westbru01,PG,30,OKC,73,2630,21.1,0.501,0.279,0.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,1.8,5,6.8,0.124,2.5,3.9,6.5,5.6
507,Derrick White,whitede01,PG,24,SAS,67,1728,14.8,0.555,0.262,0.227,2.2,13.3,7.8,21,1.9,2.3,14,17.7,1.7,1.9,3.6,0.101,-0.2,1.1,0.9,1.3
508,Okaro White,whiteok01,PF,26,WAS,3,6,-4.5,0,1,0,17.8,18.4,18.1,0,0,0,0,14.1,0,0,0,-0.251,-11,-8.2,-19.2,0
509,Hassan Whiteside,whiteha01,C,29,MIA,72,1674,23.5,0.564,0.024,0.357,16.3,35.6,25.9,5.6,1.3,7.3,11,22.6,2.3,4,6.3,0.18,-2.2,3,0.8,1.2
510,Andrew Wiggins,wiggian01,SF,23,MIN,73,2543,12.4,0.493,0.288,0.245,3.5,11.4,7.4,10.9,1.3,1.6,9.3,24.4,-0.6,1.3,0.6,0.012,-1.7,-1.3,-2.9,-0.6
511,Alan Williams,willial03,PF,26,BRK,5,26,32.9,0.61,0.077,0.308,16.2,60.3,38.4,22.3,1.8,0,6.3,25.5,0.1,0.1,0.2,0.312,3.1,2.7,5.8,0.1
512,C.J. Williams,willicj01,SG,28,MIN,15,128,8.8,0.55,0.457,0.029,0.8,5.9,3.3,12.9,2.2,0,12.4,13.3,0.1,0.1,0.1,0.042,-1.8,-2.2,-4,-0.1
513,Johnathan Williams,willijo04,C,23,LAL,24,372,15.1,0.599,0.018,0.436,13.6,13.9,13.7,4.9,1,1.5,10.9,16.4,0.7,0.3,1,0.135,-0.9,-0.8,-1.7,0
514,Kenrich Williams,willike04,SF,24,NOP,46,1079,9.7,0.485,0.559,0.068,5.4,15.5,10.5,9.5,1.9,1.4,11.1,12.3,0.3,0.9,1.2,0.053,-1.2,0.9,-0.3,0.5
515,Lou Williams,willilo02,SG,32,LAC,75,1993,21.2,0.554,0.256,0.426,2.2,9.4,5.9,33,1.3,0.4,11.8,32.4,3.9,1.2,5.1,0.123,3.1,-2.6,0.4,1.2
516,Marvin Williams,willima02,PF,32,CHO,75,2133,12.6,0.548,0.586,0.132,3.8,17.1,10.3,6.1,1.6,2.5,6.4,14.9,1.9,1.9,3.8,0.086,-0.2,0.5,0.3,1.3
517,Robert Williams,williro04,C,21,BOS,32,283,18.8,0.703,0,0.294,10.2,20.4,15.3,3.3,1.5,12.5,14.8,10.3,0.5,0.6,1.2,0.201,-2.4,6.7,4.4,0.5
518,Troy Williams,willitr02,SF,24,SAC,21,312,10.5,0.531,0.449,0.153,3.9,15.9,9.7,4.7,1.5,2.2,7.9,15,0.1,0.3,0.4,0.064,-2.3,-0.3,-2.6,0
519,D.J. Wilson,wilsodj01,PF,22,MIL,48,882,10.3,0.515,0.506,0.187,5.5,19.2,12.8,7.6,0.9,1.9,10.5,14.4,0.3,1.4,1.7,0.093,-2.4,0.9,-1.6,0.1
520,Justise Winslow,winslju01,SF,22,MIA,66,1959,12.8,0.513,0.342,0.183,3.4,15.9,9.6,21.9,1.8,0.9,14.9,20.8,0.2,2.6,2.8,0.067,-1.1,1,-0.1,1
521,Christian Wood,woodch01,PF,23,TOT,21,251,21.9,0.607,0.222,0.479,7.2,26.5,17,4.8,1.3,3.2,10.7,26.1,0.4,0.3,0.8,0.151,-1.5,-1.8,-3.3,-0.1
521,Christian Wood,woodch01,PF,23,MIL,13,62,17.1,0.585,0.2,0.6,7,24.7,16.4,4.6,0,0,8.7,23.4,0.1,0.1,0.2,0.146,-3.4,-4.1,-7.5,-0.1
521,Christian Wood,woodch01,PF,23,NOP,8,189,23.4,0.613,0.228,0.446,7.2,27,17.3,4.9,1.7,4.3,11.3,26.9,0.3,0.3,0.6,0.152,-0.9,-1,-1.9,0
522,Delon Wright,wrighde01,PG,26,TOT,75,1699,15.5,0.523,0.301,0.269,4.4,12.8,8.6,21.6,2.5,1.6,11,18.1,1.9,2.4,4.3,0.121,0,1.5,1.5,1.5
522,Delon Wright,wrighde01,PG,26,TOR,49,897,14.5,0.527,0.307,0.208,4.8,10.1,7.5,16.8,2.5,1.4,10.4,17.1,1,1.3,2.3,0.123,-0.3,1.1,0.8,0.6
522,Delon Wright,wrighde01,PG,26,MEM,26,802,16.6,0.519,0.294,0.336,4,15.9,9.9,26.9,2.6,1.8,11.6,19.2,0.9,1.1,2,0.119,0.3,1.9,2.2,0.8
523,Guerschon Yabusele,yabusgu01,PF,23,BOS,41,251,12.4,0.542,0.364,0.286,9.8,12.8,11.3,8.2,1.5,2.5,14.8,17.5,0.2,0.3,0.5,0.09,-2.1,-0.1,-2.1,0
524,Nick Young,youngni01,SG,33,DEN,4,37,2.3,0.5,0.889,0,0,2.9,1.5,6.8,0,2.4,18.2,12.7,0,0,0,-0.021,-4.4,-2.6,-7,0
525,Thaddeus Young,youngth01,PF,30,IND,81,2489,16.2,0.569,0.174,0.161,8.7,14.4,11.7,12,2.4,1.3,12,18,3,3.9,6.9,0.133,0.8,2.1,2.9,3.1
526,Trae Young,youngtr01,PG,20,ATL,81,2503,17,0.539,0.384,0.33,2.6,10.2,6.3,40.5,1.3,0.5,17.6,28.4,2.5,0.7,3.3,0.062,1.8,-2.8,-1.1,0.6
527,Cody Zeller,zelleco01,C,26,CHO,49,1243,17.2,0.611,0.064,0.409,9.4,19.7,14.5,12.1,1.5,2.9,13.2,16.3,2.6,1.2,3.9,0.15,0.2,1.7,2,1.2
528,Tyler Zeller,zellety01,C,29,TOT,6,93,17.3,0.607,0.033,0.6,12.9,15.7,14.2,6.7,0.5,3.1,9.5,20.1,0.2,0.1,0.3,0.167,-1,-1.2,-2.2,0
528,Tyler Zeller,zellety01,C,29,ATL,2,11,1.5,0,0.5,0,18.7,39.1,28.7,10.6,0,0,0,7.4,0,0,0,-0.013,-6.8,-0.4,-7.2,0
528,Tyler Zeller,zellety01,C,29,MEM,4,82,19.4,0.64,0,0.643,12.1,12.5,12.3,6.2,0.6,3.5,10,21.8,0.2,0.1,0.3,0.191,-0.3,-1.3,-1.5,0
529,Ante Žižić,zizican01,C,22,CLE,59,1082,16.2,0.59,0,0.399,10.6,22.8,16.4,7.7,0.6,1.8,13.6,18.2,1.7,0.3,2,0.087,-1.7,-1.4,-3.1,-0.3
530,Ivica Zubac,zubaciv01,C,21,TOT,59,1040,18.9,0.604,0,0.332,11.9,24.2,18.2,9.1,0.6,4,13.9,20.3,1.9,1.3,3.2,0.148,-1.2,1,-0.3,0.5
530,Ivica Zubac,zubaciv01,C,21,LAL,33,516,19.5,0.633,0,0.342,11,21.2,16.2,7.3,0.4,4.3,12.9,20.5,1.1,0.6,1.8,0.165,-1.3,0.4,-0.9,0.1
530,Ivica Zubac,zubaciv01,C,21,LAC,26,524,18.3,0.574,0,0.323,12.7,27.2,20.2,10.9,0.9,3.6,14.8,20.1,0.7,0.7,1.4,0.132,-1.2,1.5,0.3,0.3